Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,largeman-madeoutdoorthings,pool,Baseline,None,30,10,78.0,3.23,72.8,82.2,3.05,0.0
inceptionv3,largeman-madeoutdoorthings,pool,tafe,0.0,30,10,78.64,2.13,73.6,81.4,2.77,4.83
inceptionv3,largeman-madeoutdoorthings,pool,tafe,1e-45,30,10,66.22,2.17,61.6,68.8,3.13,97.31
inceptionv3,largeman-madeoutdoorthings,pool,tafe,1e-25,30,10,59.38,1.19,57.4,61.0,3.0,98.68
inceptionv3,largeman-madeoutdoorthings,pool,tafe,1e-15,30,10,49.56,1.63,46.8,52.4,3.96,99.32
inceptionv3,largeman-madeoutdoorthings,pool,tafe,1e-05,30,10,26.06,5.49,17.2,33.2,1.79,99.85
xception,largeman-madeoutdoorthings,pool,Baseline,None,30,10,81.74,1.14,79.4,83.2,4.77,0.0
xception,largeman-madeoutdoorthings,pool,tafe,0.0,30,10,81.94,0.61,80.8,82.6,5.21,0.63
xception,largeman-madeoutdoorthings,pool,tafe,1e-45,30,10,82.48,0.81,81.6,83.8,3.95,41.7
xception,largeman-madeoutdoorthings,pool,tafe,1e-25,30,10,81.64,0.74,80.6,83.2,3.83,51.61
xception,largeman-madeoutdoorthings,pool,tafe,1e-15,30,10,81.66,0.65,80.8,82.8,3.96,60.5
xception,largeman-madeoutdoorthings,pool,tafe,1e-05,30,10,77.66,1.16,75.6,79.4,2.23,78.08
densenet201,largeman-madeoutdoorthings,pool,Baseline,None,30,10,85.0,1.15,83.2,87.0,2.82,0.0
densenet201,largeman-madeoutdoorthings,pool,tafe,0.0,30,10,85.66,0.7,84.0,86.6,3.03,6.41
densenet201,largeman-madeoutdoorthings,pool,tafe,1e-45,30,10,81.58,0.87,80.4,83.2,2.89,89.84
densenet201,largeman-madeoutdoorthings,pool,tafe,1e-25,30,10,79.24,0.75,77.8,80.2,2.85,93.44
densenet201,largeman-madeoutdoorthings,pool,tafe,1e-15,30,10,75.34,1.45,73.0,77.8,2.87,95.57
densenet201,largeman-madeoutdoorthings,pool,tafe,1e-05,30,10,64.04,0.79,62.0,64.8,3.46,98.59
vgg16,largeman-madeoutdoorthings,pool,Baseline,None,30,10,61.1,3.47,53.0,64.8,2.44,0.0
vgg16,largeman-madeoutdoorthings,pool,tafe,0.0,30,10,61.88,1.15,58.6,62.6,2.3,2.34
vgg16,largeman-madeoutdoorthings,pool,tafe,1e-45,30,10,20.42,0.67,19.8,22.2,1.25,85.16
vgg16,largeman-madeoutdoorthings,pool,tafe,1e-25,30,10,19.94,0.59,19.0,21.0,1.01,88.48
vgg16,largeman-madeoutdoorthings,pool,tafe,1e-15,30,10,19.98,0.26,19.6,20.6,0.93,92.19
vgg16,largeman-madeoutdoorthings,pool,tafe,1e-05,30,10,19.96,0.12,19.8,20.2,0.91,97.66
resnet50,largeman-madeoutdoorthings,pool,Baseline,None,30,10,39.66,5.9,30.4,48.4,9.56,0.0
resnet50,largeman-madeoutdoorthings,pool,tafe,0.0,30,10,36.86,5.32,25.4,43.2,6.45,64.84
resnet50,largeman-madeoutdoorthings,pool,tafe,1e-25,30,10,20.48,0.44,20.0,21.4,4.64,94.34
resnet50,largeman-madeoutdoorthings,pool,tafe,1e-15,30,10,20.24,0.38,19.8,21.0,4.57,95.07
resnet50,largeman-madeoutdoorthings,pool,tafe,1e-05,30,10,20.02,0.11,19.8,20.2,4.98,96.63
resnet50,largeman-madeoutdoorthings,pool,tafe,0.01,30,10,20.0,0.09,19.8,20.2,5.0,98.78
