Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,largenaturaloutdoorscenes,pool,Baseline,None,30,10,85.64,0.51,84.6,86.4,9.65,0.0
xception,largenaturaloutdoorscenes,pool,tafe,0.0,30,10,85.84,0.64,84.6,86.6,9.64,0.39
xception,largenaturaloutdoorscenes,pool,tafe,1e-25,30,10,85.5,0.39,85.0,86.4,6.78,57.52
xception,largenaturaloutdoorscenes,pool,tafe,1e-15,30,10,86.0,0.47,85.0,86.6,6.83,66.21
xception,largenaturaloutdoorscenes,pool,tafe,1e-05,30,10,82.4,0.25,82.0,82.8,5.57,82.76
xception,largenaturaloutdoorscenes,pool,tafe,0.01,30,10,79.78,0.67,78.8,81.2,5.03,91.5
inceptionv3,largenaturaloutdoorscenes,pool,Baseline,None,30,10,79.7,1.33,77.0,82.0,8.25,0.0
inceptionv3,largenaturaloutdoorscenes,pool,tafe,0.0,30,10,80.48,1.04,78.8,82.4,8.19,5.18
inceptionv3,largenaturaloutdoorscenes,pool,tafe,1e-25,30,10,63.54,0.72,62.0,65.0,4.27,98.93
inceptionv3,largenaturaloutdoorscenes,pool,tafe,1e-15,30,10,59.3,0.81,58.0,60.6,4.3,99.32
inceptionv3,largenaturaloutdoorscenes,pool,tafe,1e-05,30,10,25.86,1.36,23.8,28.0,4.26,99.9
inceptionv3,largenaturaloutdoorscenes,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.1,100.0
densenet201,largenaturaloutdoorscenes,pool,Baseline,None,30,10,85.64,1.02,83.6,86.6,9.07,0.0
densenet201,largenaturaloutdoorscenes,pool,tafe,0.0,30,10,86.24,1.02,84.0,87.6,9.12,5.94
densenet201,largenaturaloutdoorscenes,pool,tafe,1e-25,30,10,77.7,0.72,76.4,78.8,4.7,94.11
densenet201,largenaturaloutdoorscenes,pool,tafe,1e-15,30,10,75.1,0.48,74.6,75.8,4.52,96.46
densenet201,largenaturaloutdoorscenes,pool,tafe,1e-05,30,10,61.48,0.9,60.0,62.8,4.35,99.01
densenet201,largenaturaloutdoorscenes,pool,tafe,0.01,30,10,44.32,1.48,41.8,46.6,4.36,99.79
resnet50,largenaturaloutdoorscenes,pool,Baseline,None,30,10,32.34,6.1,25.8,44.8,9.92,0.0
resnet50,largenaturaloutdoorscenes,pool,tafe,0.0,30,10,32.14,5.66,23.4,41.2,6.62,66.85
resnet50,largenaturaloutdoorscenes,pool,tafe,1e-25,30,10,20.78,0.79,20.2,22.6,4.93,95.07
resnet50,largenaturaloutdoorscenes,pool,tafe,1e-15,30,10,20.28,0.27,20.0,20.8,4.94,95.85
resnet50,largenaturaloutdoorscenes,pool,tafe,1e-05,30,10,20.1,0.13,20.0,20.4,4.7,97.22
resnet50,largenaturaloutdoorscenes,pool,tafe,0.01,30,10,20.02,0.06,20.0,20.2,4.46,98.97
vgg16,largenaturaloutdoorscenes,pool,Baseline,None,30,10,68.12,0.82,66.6,69.4,5.69,0.0
vgg16,largenaturaloutdoorscenes,pool,tafe,0.0,30,10,68.5,0.65,67.0,69.4,5.8,4.88
vgg16,largenaturaloutdoorscenes,pool,tafe,1e-25,30,10,20.16,0.59,19.2,21.2,4.84,86.72
vgg16,largenaturaloutdoorscenes,pool,tafe,1e-15,30,10,20.56,0.92,19.6,22.4,4.66,90.43
vgg16,largenaturaloutdoorscenes,pool,tafe,1e-05,30,10,20.02,0.59,19.2,21.4,4.52,95.51
vgg16,largenaturaloutdoorscenes,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.37,99.61
