Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,largeomnivoresandherbivores,pool,Baseline,None,30,10,82.56,0.64,81.6,83.8,10.53,0.0
xception,largeomnivoresandherbivores,pool,tafe,0.0,30,10,82.16,0.98,80.4,84.2,10.45,0.54
xception,largeomnivoresandherbivores,pool,tafe,1e-25,30,10,82.24,0.99,81.0,83.8,8.08,45.07
xception,largeomnivoresandherbivores,pool,tafe,1e-15,30,10,83.12,0.77,81.8,84.4,8.07,54.44
xception,largeomnivoresandherbivores,pool,tafe,1e-05,30,10,80.78,0.3,80.2,81.4,6.2,76.9
xception,largeomnivoresandherbivores,pool,tafe,0.01,30,10,79.58,0.53,78.8,80.6,5.17,89.89
inceptionv3,largeomnivoresandherbivores,pool,Baseline,None,30,10,82.38,1.54,79.0,84.6,8.38,0.0
inceptionv3,largeomnivoresandherbivores,pool,tafe,0.0,30,10,81.82,1.34,78.6,83.6,9.23,4.15
inceptionv3,largeomnivoresandherbivores,pool,tafe,1e-25,30,10,63.84,0.45,63.0,64.6,4.52,97.8
inceptionv3,largeomnivoresandherbivores,pool,tafe,1e-15,30,10,56.54,0.88,55.4,58.2,4.46,98.97
inceptionv3,largeomnivoresandherbivores,pool,tafe,1e-05,30,10,44.06,0.51,43.2,44.8,4.4,99.8
inceptionv3,largeomnivoresandherbivores,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,4.23,100.0
densenet201,largeomnivoresandherbivores,pool,Baseline,None,30,10,82.3,1.12,79.6,83.4,9.77,0.0
densenet201,largeomnivoresandherbivores,pool,tafe,0.0,30,10,81.5,1.45,78.0,83.6,9.76,6.35
densenet201,largeomnivoresandherbivores,pool,tafe,1e-25,30,10,77.04,0.56,76.4,77.8,4.91,93.91
densenet201,largeomnivoresandherbivores,pool,tafe,1e-15,30,10,69.1,0.5,68.2,69.8,4.7,95.94
densenet201,largeomnivoresandherbivores,pool,tafe,1e-05,30,10,60.66,0.51,59.8,61.6,4.41,98.65
densenet201,largeomnivoresandherbivores,pool,tafe,0.01,30,10,36.2,0.82,34.8,37.6,4.49,99.58
resnet50,largeomnivoresandherbivores,pool,Baseline,None,30,10,25.24,4.11,20.0,32.6,10.64,0.0
resnet50,largeomnivoresandherbivores,pool,tafe,0.0,30,10,28.24,3.17,24.2,34.2,7.2,64.65
resnet50,largeomnivoresandherbivores,pool,tafe,1e-25,30,10,20.3,0.31,20.0,20.8,5.04,94.82
resnet50,largeomnivoresandherbivores,pool,tafe,1e-15,30,10,19.94,0.3,19.2,20.2,5.06,95.61
resnet50,largeomnivoresandherbivores,pool,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,4.86,97.27
resnet50,largeomnivoresandherbivores,pool,tafe,0.01,30,10,19.94,0.13,19.6,20.0,4.79,98.88
vgg16,largeomnivoresandherbivores,pool,Baseline,None,30,10,54.78,0.62,53.4,55.6,4.88,0.0
vgg16,largeomnivoresandherbivores,pool,tafe,0.0,30,10,54.28,0.67,53.6,55.6,4.9,1.17
vgg16,largeomnivoresandherbivores,pool,tafe,1e-25,30,10,20.02,0.3,19.4,20.4,3.88,91.6
vgg16,largeomnivoresandherbivores,pool,tafe,1e-15,30,10,20.08,0.22,19.6,20.4,3.61,95.31
vgg16,largeomnivoresandherbivores,pool,tafe,1e-05,30,10,20.06,0.16,19.8,20.4,3.59,98.63
vgg16,largeomnivoresandherbivores,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,3.46,100.0
