Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,medium-sizedmammals,pool,Baseline,None,30,10,82.56,0.86,80.6,83.4,8.1,0.0
xception,medium-sizedmammals,pool,tafe,0.0,30,10,82.8,0.78,81.4,84.0,8.33,0.44
xception,medium-sizedmammals,pool,tafe,1e-25,30,10,82.02,0.65,80.8,83.0,6.46,45.51
xception,medium-sizedmammals,pool,tafe,1e-15,30,10,81.98,0.67,80.6,82.8,6.21,53.61
xception,medium-sizedmammals,pool,tafe,1e-05,30,10,80.6,0.52,80.0,81.4,5.21,76.12
xception,medium-sizedmammals,pool,tafe,0.01,30,10,76.3,0.31,75.8,76.8,4.42,89.26
inceptionv3,medium-sizedmammals,pool,Baseline,None,30,10,82.08,1.07,79.8,83.8,6.85,0.0
inceptionv3,medium-sizedmammals,pool,tafe,0.0,30,10,82.52,0.44,81.8,83.0,6.85,4.74
inceptionv3,medium-sizedmammals,pool,tafe,1e-25,30,10,66.08,0.7,65.2,67.4,3.85,97.51
inceptionv3,medium-sizedmammals,pool,tafe,1e-15,30,10,62.24,0.41,61.6,62.8,3.71,98.63
inceptionv3,medium-sizedmammals,pool,tafe,1e-05,30,10,41.08,1.26,39.8,44.0,3.58,99.85
inceptionv3,medium-sizedmammals,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,3.52,100.0
densenet201,medium-sizedmammals,pool,Baseline,None,30,10,82.52,0.66,81.0,83.4,7.95,0.0
densenet201,medium-sizedmammals,pool,tafe,0.0,30,10,82.9,0.98,80.8,84.2,7.88,6.15
densenet201,medium-sizedmammals,pool,tafe,1e-25,30,10,76.26,0.61,75.2,77.0,4.2,92.86
densenet201,medium-sizedmammals,pool,tafe,1e-15,30,10,71.16,0.69,70.0,72.4,4.11,95.78
densenet201,medium-sizedmammals,pool,tafe,1e-05,30,10,58.7,0.48,58.0,59.8,3.84,98.65
densenet201,medium-sizedmammals,pool,tafe,0.01,30,10,49.12,0.69,47.6,50.2,3.75,99.32
resnet50,medium-sizedmammals,pool,Baseline,None,30,10,33.34,3.58,27.2,38.8,8.18,0.0
resnet50,medium-sizedmammals,pool,tafe,0.0,30,10,34.46,3.59,29.0,41.6,5.75,64.55
resnet50,medium-sizedmammals,pool,tafe,1e-25,30,10,20.32,0.34,19.8,21.2,4.13,94.68
resnet50,medium-sizedmammals,pool,tafe,1e-15,30,10,20.02,0.14,19.8,20.4,3.99,95.31
resnet50,medium-sizedmammals,pool,tafe,1e-05,30,10,19.86,0.2,19.4,20.0,3.93,96.63
resnet50,medium-sizedmammals,pool,tafe,0.01,30,10,19.98,0.11,19.8,20.2,3.83,98.83
vgg16,medium-sizedmammals,pool,Baseline,None,30,10,54.7,0.9,53.6,57.0,5.16,0.0
vgg16,medium-sizedmammals,pool,tafe,0.0,30,10,53.68,1.18,51.8,55.8,5.16,1.17
vgg16,medium-sizedmammals,pool,tafe,1e-25,30,10,20.3,0.55,19.4,21.4,4.06,91.21
vgg16,medium-sizedmammals,pool,tafe,1e-15,30,10,20.12,0.4,19.8,21.2,3.97,94.73
vgg16,medium-sizedmammals,pool,tafe,1e-05,30,10,20.02,0.32,19.2,20.4,3.69,98.44
vgg16,medium-sizedmammals,pool,tafe,0.01,30,10,19.96,0.08,19.8,20.0,3.52,99.8
