Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,mit67,pool,Baseline,None,30,10,61.48,1.47,57.81,63.27,20.95,0.0
inceptionv3,mit67,pool,tafe,0.0,30,10,61.52,0.71,60.36,62.78,18.11,0.0
inceptionv3,mit67,pool,tafe,1e-45,30,10,61.33,1.0,60.07,63.33,17.48,0.2
inceptionv3,mit67,pool,tafe,1e-25,30,10,60.6,0.64,59.78,61.88,15.61,1.86
inceptionv3,mit67,pool,tafe,1e-15,30,10,61.38,1.1,59.3,62.94,19.92,7.62
inceptionv3,mit67,pool,tafe,1e-05,30,10,61.77,0.68,60.65,63.07,14.43,40.38
inceptionv3,mit67,pool,tafe,0.01,30,10,61.47,0.25,60.97,61.85,13.77,78.47
xception,mit67,pool,Baseline,None,30,10,68.25,0.25,67.88,68.62,23.32,0.0
xception,mit67,pool,tafe,0.0,30,10,68.11,0.35,67.3,68.62,22.47,0.83
xception,mit67,pool,tafe,1e-45,30,10,68.22,0.38,67.62,68.72,21.84,0.88
xception,mit67,pool,tafe,1e-25,30,10,67.73,0.39,67.17,68.53,19.2,1.86
xception,mit67,pool,tafe,1e-15,30,10,68.22,0.28,67.85,68.59,21.83,7.23
xception,mit67,pool,tafe,1e-05,30,10,68.19,0.24,67.82,68.66,20.51,22.46
xception,mit67,pool,tafe,0.01,30,10,67.81,0.27,67.43,68.24,18.26,38.38
densenet201,mit67,pool,Baseline,None,30,10,71.7,0.41,71.21,72.37,18.38,0.0
densenet201,mit67,pool,tafe,0.0,30,10,71.85,0.56,71.17,72.53,18.47,0.0
densenet201,mit67,pool,tafe,1e-45,30,10,71.18,0.48,70.46,71.98,20.92,16.25
densenet201,mit67,pool,tafe,1e-25,30,10,70.96,0.44,70.05,71.66,18.39,30.63
densenet201,mit67,pool,tafe,1e-15,30,10,69.82,0.67,68.11,70.53,17.72,44.64
densenet201,mit67,pool,tafe,1e-05,30,10,65.96,0.46,65.17,66.62,14.96,73.02
densenet201,mit67,pool,tafe,0.01,30,10,56.38,0.51,55.46,56.94,15.55,88.02
vgg16,mit67,pool,Baseline,None,30,10,51.93,1.2,50.0,53.78,29.95,0.0
vgg16,mit67,pool,tafe,0.0,30,10,50.86,1.05,49.61,52.49,25.15,0.0
vgg16,mit67,pool,tafe,1e-45,30,10,48.09,1.2,45.38,49.58,28.89,29.3
vgg16,mit67,pool,tafe,1e-25,30,10,45.56,0.7,44.32,46.42,27.44,51.17
vgg16,mit67,pool,tafe,1e-15,30,10,39.91,0.94,37.22,40.61,25.73,68.16
vgg16,mit67,pool,tafe,1e-05,30,10,27.21,0.42,26.4,27.66,21.57,86.52
vgg16,mit67,pool,tafe,0.01,30,10,21.74,0.95,19.56,22.6,18.34,92.38
