Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,non-insectinvertebrates,pool,Baseline,None,30,10,77.24,3.51,70.8,83.0,2.29,0.0
inceptionv3,non-insectinvertebrates,pool,tafe,0.0,30,10,76.1,3.17,70.6,80.0,2.12,4.44
inceptionv3,non-insectinvertebrates,pool,tafe,1e-45,30,10,70.32,1.65,68.8,74.4,2.18,96.09
inceptionv3,non-insectinvertebrates,pool,tafe,1e-25,30,10,64.24,1.09,62.0,66.2,2.36,98.05
inceptionv3,non-insectinvertebrates,pool,tafe,1e-15,30,10,55.18,0.98,53.6,56.6,2.33,98.88
inceptionv3,non-insectinvertebrates,pool,tafe,1e-05,30,10,40.98,1.47,38.4,43.2,2.41,99.66
xception,non-insectinvertebrates,pool,Baseline,None,30,10,83.32,1.63,80.4,85.0,2.82,0.0
xception,non-insectinvertebrates,pool,tafe,0.0,30,10,83.34,1.58,80.6,86.4,2.7,0.44
xception,non-insectinvertebrates,pool,tafe,1e-45,30,10,82.08,1.07,80.4,83.6,2.47,37.11
xception,non-insectinvertebrates,pool,tafe,1e-25,30,10,82.16,1.14,79.6,83.6,2.27,46.24
xception,non-insectinvertebrates,pool,tafe,1e-15,30,10,82.22,0.62,81.4,83.2,2.28,53.86
xception,non-insectinvertebrates,pool,tafe,1e-05,30,10,80.62,0.52,79.8,81.4,2.23,75.34
densenet201,non-insectinvertebrates,pool,Baseline,None,30,10,84.86,0.91,83.4,86.4,3.09,0.0
densenet201,non-insectinvertebrates,pool,tafe,0.0,30,10,84.54,1.81,80.4,86.8,3.03,5.47
densenet201,non-insectinvertebrates,pool,tafe,1e-45,30,10,81.78,1.47,79.6,84.4,2.05,86.51
densenet201,non-insectinvertebrates,pool,tafe,1e-25,30,10,79.1,0.69,78.0,80.0,2.03,91.82
densenet201,non-insectinvertebrates,pool,tafe,1e-15,30,10,77.16,1.06,75.0,78.6,2.17,94.38
densenet201,non-insectinvertebrates,pool,tafe,1e-05,30,10,63.3,1.69,60.4,66.0,2.38,97.81
vgg16,non-insectinvertebrates,pool,Baseline,None,30,10,52.22,3.47,46.0,57.0,1.87,0.0
vgg16,non-insectinvertebrates,pool,tafe,0.0,30,10,51.34,4.47,44.4,58.0,2.03,0.39
vgg16,non-insectinvertebrates,pool,tafe,1e-45,30,10,19.74,1.29,17.2,21.2,0.95,90.82
vgg16,non-insectinvertebrates,pool,tafe,1e-25,30,10,19.56,1.14,17.2,21.2,0.99,95.7
vgg16,non-insectinvertebrates,pool,tafe,1e-15,30,10,19.84,0.34,19.2,20.2,0.99,98.05
vgg16,non-insectinvertebrates,pool,tafe,1e-05,30,10,20.02,0.06,20.0,20.2,0.84,99.61
resnet50,non-insectinvertebrates,pool,Baseline,None,30,10,26.34,3.89,21.6,36.6,15.96,0.0
resnet50,non-insectinvertebrates,pool,tafe,0.0,30,10,28.48,5.02,20.2,36.8,7.64,63.87
resnet50,non-insectinvertebrates,pool,tafe,1e-25,30,10,20.5,1.05,19.4,23.0,9.66,93.7
resnet50,non-insectinvertebrates,pool,tafe,1e-15,30,10,20.02,0.19,19.8,20.4,5.39,94.87
resnet50,non-insectinvertebrates,pool,tafe,1e-05,30,10,19.96,0.23,19.4,20.4,4.67,96.73
resnet50,non-insectinvertebrates,pool,tafe,0.01,30,10,20.0,0.13,19.8,20.2,5.25,99.07
