Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,people,pool,Baseline,None,30,10,39.54,4.01,30.8,45.0,1.88,0.0
inceptionv3,people,pool,tafe,0.0,30,10,40.62,2.79,36.0,45.0,1.71,4.49
inceptionv3,people,pool,tafe,1e-45,30,10,40.02,2.13,36.0,44.4,2.11,96.68
inceptionv3,people,pool,tafe,1e-25,30,10,36.08,2.73,31.4,40.0,2.09,98.44
inceptionv3,people,pool,tafe,1e-15,30,10,32.04,4.25,19.8,35.0,1.61,99.07
inceptionv3,people,pool,tafe,1e-05,30,10,20.62,2.78,17.6,26.8,0.79,99.9
xception,people,pool,Baseline,None,30,10,50.38,1.76,46.4,52.0,2.33,0.0
xception,people,pool,tafe,0.0,30,10,51.36,1.13,49.6,53.4,2.53,0.49
xception,people,pool,tafe,1e-45,30,10,50.48,0.85,49.0,51.8,1.94,41.41
xception,people,pool,tafe,1e-25,30,10,50.06,0.67,49.0,51.6,1.73,50.59
xception,people,pool,tafe,1e-15,30,10,50.64,0.81,49.6,52.0,1.8,59.67
xception,people,pool,tafe,1e-05,30,10,49.06,1.18,47.0,50.8,1.6,79.39
densenet201,people,pool,Baseline,None,30,10,50.86,1.63,48.4,53.2,2.46,0.0
densenet201,people,pool,tafe,0.0,30,10,50.72,1.79,46.0,52.6,2.47,6.09
densenet201,people,pool,tafe,1e-45,30,10,46.52,1.93,42.6,48.8,1.7,88.33
densenet201,people,pool,tafe,1e-25,30,10,45.36,0.78,44.0,46.6,1.79,93.07
densenet201,people,pool,tafe,1e-15,30,10,42.36,1.92,38.0,45.4,1.87,95.47
densenet201,people,pool,tafe,1e-05,30,10,34.96,2.68,28.8,39.0,2.08,98.44
