Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,pet,pool,Baseline,None,30,10,88.28,0.84,86.82,89.34,5.18,0.0
inceptionv3,pet,pool,tafe,0.0,30,10,88.5,0.67,87.36,89.82,5.18,0.0
inceptionv3,pet,pool,tafe,1e-45,30,10,88.18,0.71,87.02,89.62,5.2,0.44
inceptionv3,pet,pool,tafe,1e-25,30,10,88.07,0.72,86.54,88.93,5.14,4.88
inceptionv3,pet,pool,tafe,1e-15,30,10,88.39,0.75,86.82,89.48,5.02,12.4
inceptionv3,pet,pool,tafe,1e-05,30,10,88.06,0.67,87.23,89.28,4.7,29.35
xception,pet,pool,Baseline,None,30,10,89.97,0.41,89.21,90.57,5.22,0.0
xception,pet,pool,tafe,0.0,30,10,90.17,0.25,89.82,90.71,5.55,3.52
xception,pet,pool,tafe,1e-45,30,10,89.9,0.52,89.34,90.71,4.92,3.52
xception,pet,pool,tafe,1e-25,30,10,90.14,0.34,89.69,90.71,5.79,3.52
xception,pet,pool,tafe,1e-15,30,10,90.02,0.44,89.41,90.98,5.31,4.0
xception,pet,pool,tafe,1e-05,30,10,90.2,0.46,89.41,90.85,4.5,11.23
densenet201,pet,pool,Baseline,None,30,10,90.03,0.49,89.14,90.78,6.2,0.0
densenet201,pet,pool,tafe,0.0,30,10,90.09,0.25,89.69,90.44,7.06,0.0
densenet201,pet,pool,tafe,1e-45,30,10,89.98,0.3,89.28,90.37,6.09,6.51
densenet201,pet,pool,tafe,1e-25,30,10,89.56,0.46,88.66,90.51,5.33,18.7
densenet201,pet,pool,tafe,1e-15,30,10,89.54,0.31,89.07,89.89,4.66,32.34
densenet201,pet,pool,tafe,1e-05,30,10,88.45,0.3,87.98,88.93,4.04,62.81
vgg16,pet,pool,Baseline,None,30,10,52.36,1.18,50.0,54.64,7.34,0.0
vgg16,pet,pool,tafe,0.0,30,10,52.18,1.92,49.8,54.99,7.66,0.0
vgg16,pet,pool,tafe,1e-45,30,10,45.6,4.41,37.77,50.89,7.59,11.91
vgg16,pet,pool,tafe,1e-25,30,10,43.67,2.91,39.28,48.57,7.6,28.12
vgg16,pet,pool,tafe,1e-15,30,10,38.44,3.18,33.81,42.55,6.36,42.19
vgg16,pet,pool,tafe,1e-05,30,10,29.67,2.82,23.57,33.27,5.13,72.46
resnet50,pet,pool,Baseline,None,30,10,9.92,1.08,7.92,10.93,16.38,0.0
resnet50,pet,pool,tafe,0.0,30,10,10.36,0.83,9.29,11.82,16.12,0.0
resnet50,pet,pool,tafe,1e-25,30,10,9.3,1.45,6.9,11.61,14.71,17.87
resnet50,pet,pool,tafe,1e-15,30,10,9.43,1.06,7.31,11.0,13.81,32.47
resnet50,pet,pool,tafe,1e-05,30,10,8.57,1.01,7.31,10.31,10.11,65.48
resnet50,pet,pool,tafe,0.01,30,10,7.54,0.49,6.83,8.2,8.39,85.35
