Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,smallmammals,pool,Baseline,None,30,10,69.84,1.11,67.0,71.6,9.12,0.0
xception,smallmammals,pool,tafe,0.0,30,10,69.68,1.14,68.4,72.4,9.41,0.44
xception,smallmammals,pool,tafe,1e-25,30,10,69.18,0.8,67.8,70.8,6.85,45.51
xception,smallmammals,pool,tafe,1e-15,30,10,69.6,0.51,68.8,70.4,6.76,54.25
xception,smallmammals,pool,tafe,1e-05,30,10,69.04,0.45,68.4,69.8,5.57,76.07
xception,smallmammals,pool,tafe,0.01,30,10,64.68,0.54,63.6,65.4,4.68,89.16
inceptionv3,smallmammals,pool,Baseline,None,30,10,63.58,1.32,61.8,65.4,6.93,0.0
inceptionv3,smallmammals,pool,tafe,0.0,30,10,61.32,1.83,57.4,63.6,7.43,4.64
inceptionv3,smallmammals,pool,tafe,1e-25,30,10,46.06,0.92,44.8,48.0,4.03,97.85
inceptionv3,smallmammals,pool,tafe,1e-15,30,10,44.14,0.67,43.2,45.8,3.97,98.58
inceptionv3,smallmammals,pool,tafe,1e-05,30,10,22.72,1.95,18.4,25.4,3.77,99.9
inceptionv3,smallmammals,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,3.68,100.0
densenet201,smallmammals,pool,Baseline,None,30,10,67.5,0.81,66.0,68.4,8.29,0.0
densenet201,smallmammals,pool,tafe,0.0,30,10,67.44,0.96,65.6,68.8,8.73,6.2
densenet201,smallmammals,pool,tafe,1e-25,30,10,59.96,0.5,59.0,60.8,4.42,93.39
densenet201,smallmammals,pool,tafe,1e-15,30,10,57.86,1.17,56.0,59.8,4.25,95.26
densenet201,smallmammals,pool,tafe,1e-05,30,10,46.52,0.87,45.0,48.4,3.78,98.54
densenet201,smallmammals,pool,tafe,0.01,30,10,33.76,0.59,33.2,35.0,3.7,99.48
resnet50,smallmammals,pool,Baseline,None,30,10,24.84,3.92,20.0,30.2,9.19,0.0
resnet50,smallmammals,pool,tafe,0.0,30,10,21.46,2.26,19.8,27.8,6.26,67.09
resnet50,smallmammals,pool,tafe,1e-25,30,10,20.04,0.17,19.8,20.4,4.54,96.29
resnet50,smallmammals,pool,tafe,1e-15,30,10,20.1,0.1,20.0,20.2,4.5,96.68
resnet50,smallmammals,pool,tafe,1e-05,30,10,20.04,0.12,19.8,20.2,3.93,97.95
resnet50,smallmammals,pool,tafe,0.01,30,10,19.96,0.08,19.8,20.0,3.69,99.27
vgg16,smallmammals,pool,Baseline,None,30,10,43.58,0.97,42.0,45.4,5.99,0.0
vgg16,smallmammals,pool,tafe,0.0,30,10,43.38,0.97,41.8,45.2,6.0,2.54
vgg16,smallmammals,pool,tafe,1e-25,30,10,20.38,0.86,19.6,22.6,4.5,89.26
vgg16,smallmammals,pool,tafe,1e-15,30,10,20.16,0.45,19.6,21.0,4.66,93.55
vgg16,smallmammals,pool,tafe,1e-05,30,10,20.06,0.13,20.0,20.4,4.52,98.24
vgg16,smallmammals,pool,tafe,0.01,30,10,19.98,0.21,19.6,20.4,4.33,99.41
