Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,stl10,pool,Baseline,None,30,10,93.89,0.1,93.73,94.12,40.91,0.0
xception,stl10,pool,tafe,0.0,30,10,93.86,0.13,93.54,94.0,41.38,2.83
xception,stl10,pool,tafe,1e-25,30,10,94.0,0.1,93.88,94.15,39.94,9.67
xception,stl10,pool,tafe,1e-15,30,10,94.02,0.14,93.81,94.27,37.69,13.96
xception,stl10,pool,tafe,1e-05,30,10,94.25,0.13,94.04,94.46,34.0,28.27
xception,stl10,pool,tafe,0.01,30,10,94.34,0.08,94.19,94.46,27.45,46.39
inceptionv3,stl10,pool,Baseline,None,30,10,92.95,0.12,92.69,93.15,28.92,0.0
inceptionv3,stl10,pool,tafe,0.0,30,10,92.93,0.18,92.65,93.23,28.89,0.0
inceptionv3,stl10,pool,tafe,1e-25,30,10,92.9,0.21,92.35,93.15,23.78,33.25
inceptionv3,stl10,pool,tafe,1e-15,30,10,92.85,0.2,92.65,93.19,22.77,42.53
inceptionv3,stl10,pool,tafe,1e-05,30,10,92.55,0.17,92.23,92.85,18.59,72.31
inceptionv3,stl10,pool,tafe,0.01,30,10,92.09,0.17,91.85,92.38,14.23,90.53
densenet201,stl10,pool,Baseline,None,30,10,93.19,0.22,92.81,93.54,31.49,0.0
densenet201,stl10,pool,tafe,0.0,30,10,93.22,0.14,93.0,93.5,31.15,0.0
densenet201,stl10,pool,tafe,1e-25,30,10,91.4,0.18,91.12,91.73,21.94,62.5
densenet201,stl10,pool,tafe,1e-15,30,10,90.6,0.15,90.23,90.81,20.05,72.76
densenet201,stl10,pool,tafe,1e-05,30,10,86.12,0.12,85.96,86.35,15.82,88.28
densenet201,stl10,pool,tafe,0.01,30,10,76.63,0.17,76.27,76.77,13.61,94.58
resnet50,stl10,pool,Baseline,None,30,10,42.07,1.47,40.0,44.38,32.8,0.0
resnet50,stl10,pool,tafe,0.0,30,10,43.05,1.86,39.35,45.19,32.91,0.1
resnet50,stl10,pool,tafe,1e-25,30,10,41.62,1.17,40.12,43.77,25.71,49.61
resnet50,stl10,pool,tafe,1e-15,30,10,40.44,0.87,39.0,41.85,23.44,61.57
resnet50,stl10,pool,tafe,1e-05,30,10,38.08,0.62,37.19,39.12,19.3,80.13
resnet50,stl10,pool,tafe,0.01,30,10,34.48,0.69,32.73,35.15,15.72,90.53
vgg16,stl10,pool,Baseline,None,30,10,76.81,0.3,76.27,77.27,20.61,0.0
vgg16,stl10,pool,tafe,0.0,30,10,76.8,0.32,76.04,77.19,20.5,0.0
vgg16,stl10,pool,tafe,1e-25,30,10,73.02,0.41,72.27,73.62,16.67,47.07
vgg16,stl10,pool,tafe,1e-15,30,10,70.56,0.28,70.0,71.04,15.97,61.33
vgg16,stl10,pool,tafe,1e-05,30,10,63.78,0.17,63.58,64.15,13.28,84.96
vgg16,stl10,pool,tafe,0.01,30,10,49.94,0.34,49.46,50.46,12.63,94.92
