Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,trees,pool,Baseline,None,30,10,64.64,0.7,63.2,65.4,9.13,0.0
xception,trees,pool,tafe,0.0,30,10,64.54,1.25,63.0,67.2,9.27,0.49
xception,trees,pool,tafe,1e-25,30,10,61.84,0.5,60.8,62.6,6.37,62.65
xception,trees,pool,tafe,1e-15,30,10,61.38,0.52,60.4,62.4,5.89,70.61
xception,trees,pool,tafe,1e-05,30,10,59.72,0.73,58.6,61.2,4.95,84.57
xception,trees,pool,tafe,0.01,30,10,54.24,0.58,53.4,55.4,4.45,91.6
inceptionv3,trees,pool,Baseline,None,30,10,62.88,3.19,54.6,65.8,6.96,0.0
inceptionv3,trees,pool,tafe,0.0,30,10,62.0,1.35,60.0,64.0,7.09,5.42
inceptionv3,trees,pool,tafe,1e-25,30,10,40.94,1.19,39.6,43.2,3.73,99.07
inceptionv3,trees,pool,tafe,1e-15,30,10,38.1,0.47,37.4,38.8,3.79,99.56
inceptionv3,trees,pool,tafe,1e-05,30,10,27.96,1.04,26.6,29.6,3.73,99.85
inceptionv3,trees,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,3.67,100.0
densenet201,trees,pool,Baseline,None,30,10,66.14,1.37,63.0,68.2,8.06,0.0
densenet201,trees,pool,tafe,0.0,30,10,65.78,1.11,63.2,67.0,8.29,5.94
densenet201,trees,pool,tafe,1e-25,30,10,57.12,0.72,56.2,58.2,4.37,94.22
densenet201,trees,pool,tafe,1e-15,30,10,58.3,0.68,57.6,59.2,4.3,95.94
densenet201,trees,pool,tafe,1e-05,30,10,45.3,0.54,44.4,46.2,4.07,98.44
densenet201,trees,pool,tafe,0.01,30,10,33.86,1.16,32.4,36.0,3.94,99.32
resnet50,trees,pool,Baseline,None,30,10,28.88,2.97,23.6,34.2,8.75,0.0
resnet50,trees,pool,tafe,0.0,30,10,27.26,1.73,24.8,30.2,5.77,67.48
resnet50,trees,pool,tafe,1e-25,30,10,19.98,0.27,19.2,20.2,4.09,96.58
resnet50,trees,pool,tafe,1e-15,30,10,19.94,0.32,19.2,20.4,4.07,97.07
resnet50,trees,pool,tafe,1e-05,30,10,20.06,0.16,19.8,20.4,4.03,98.58
resnet50,trees,pool,tafe,0.01,30,10,19.98,0.06,19.8,20.0,3.8,99.51
vgg16,trees,pool,Baseline,None,30,10,54.24,1.98,51.6,57.8,5.25,0.0
vgg16,trees,pool,tafe,0.0,30,10,55.32,0.86,53.2,56.2,5.27,3.91
vgg16,trees,pool,tafe,1e-25,30,10,20.98,0.65,19.6,22.0,4.09,88.87
vgg16,trees,pool,tafe,1e-15,30,10,21.02,0.86,19.6,22.4,4.01,92.38
vgg16,trees,pool,tafe,1e-05,30,10,19.94,0.09,19.8,20.0,3.77,97.66
vgg16,trees,pool,tafe,0.01,30,10,19.94,0.09,19.8,20.0,3.7,99.61
