Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,vehicles2,pool,Baseline,None,30,10,88.06,0.8,86.2,89.0,8.89,0.0
xception,vehicles2,pool,tafe,0.0,30,10,88.44,0.37,88.0,89.2,9.07,0.59
xception,vehicles2,pool,tafe,1e-25,30,10,86.8,0.61,85.8,87.6,6.84,48.93
xception,vehicles2,pool,tafe,1e-15,30,10,86.68,0.58,85.6,87.8,6.44,57.52
xception,vehicles2,pool,tafe,1e-05,30,10,86.54,0.61,85.4,87.4,5.26,76.81
xception,vehicles2,pool,tafe,0.01,30,10,85.32,0.35,84.8,86.0,4.57,88.96
inceptionv3,vehicles2,pool,Baseline,None,30,10,87.62,0.59,86.4,88.8,6.63,0.0
inceptionv3,vehicles2,pool,tafe,0.0,30,10,87.88,0.51,86.6,88.4,6.88,4.64
inceptionv3,vehicles2,pool,tafe,1e-25,30,10,67.64,0.62,66.2,68.2,3.59,98.14
inceptionv3,vehicles2,pool,tafe,1e-15,30,10,55.58,0.67,54.6,56.6,3.71,99.12
inceptionv3,vehicles2,pool,tafe,1e-05,30,10,34.64,1.25,31.6,35.8,3.46,99.9
inceptionv3,vehicles2,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,3.41,100.0
densenet201,vehicles2,pool,Baseline,None,30,10,93.06,0.41,92.6,93.8,8.19,0.0
densenet201,vehicles2,pool,tafe,0.0,30,10,93.04,0.4,92.2,93.6,7.96,6.25
densenet201,vehicles2,pool,tafe,1e-25,30,10,85.14,0.67,84.0,86.2,4.25,92.81
densenet201,vehicles2,pool,tafe,1e-15,30,10,83.26,0.36,82.8,84.0,4.14,95.05
densenet201,vehicles2,pool,tafe,1e-05,30,10,68.14,0.61,67.0,69.0,3.98,98.28
densenet201,vehicles2,pool,tafe,0.01,30,10,61.14,0.82,59.4,62.2,3.78,99.27
resnet50,vehicles2,pool,Baseline,None,30,10,37.64,6.08,25.2,47.0,8.64,0.0
resnet50,vehicles2,pool,tafe,0.0,30,10,41.46,4.51,31.0,47.0,5.79,64.45
resnet50,vehicles2,pool,tafe,1e-25,30,10,19.94,0.22,19.6,20.4,4.11,94.53
resnet50,vehicles2,pool,tafe,1e-15,30,10,20.08,0.18,19.8,20.4,4.11,95.12
resnet50,vehicles2,pool,tafe,1e-05,30,10,20.04,0.08,20.0,20.2,4.1,96.78
resnet50,vehicles2,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,3.88,98.73
vgg16,vehicles2,pool,Baseline,None,30,10,72.42,1.33,69.2,74.2,5.18,0.0
vgg16,vehicles2,pool,tafe,0.0,30,10,73.02,0.97,71.2,74.4,5.37,0.59
vgg16,vehicles2,pool,tafe,1e-25,30,10,20.18,0.97,18.8,22.2,3.91,93.55
vgg16,vehicles2,pool,tafe,1e-15,30,10,20.16,0.77,19.0,22.0,3.85,95.9
vgg16,vehicles2,pool,tafe,1e-05,30,10,19.96,0.08,19.8,20.0,3.67,98.44
vgg16,vehicles2,pool,tafe,0.01,30,10,20.0,0.0,20.0,20.0,3.52,100.0
