Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,fish,dense,Baseline,None,30,10,63.24,5.96,53.4,70.6,56.45,0.0
inceptionv3,fish,dense,tafe,0.0,30,10,61.84,8.95,43.2,75.2,55.14,4.69
inceptionv3,fish,dense,tafe,1e-45,30,10,59.86,4.74,51.4,66.2,5.63,96.29
inceptionv3,fish,dense,tafe,1e-25,30,10,57.24,2.85,52.0,61.6,4.48,98.05
inceptionv3,fish,dense,tafe,1e-15,30,10,51.48,4.18,42.0,56.8,4.0,98.83
inceptionv3,fish,dense,tafe,1e-05,30,10,32.22,1.83,28.0,34.2,2.88,99.85
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,fish,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,47.97,0.0
resnet50,fish,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,19.32,64.45
resnet50,fish,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,5.23,93.07
resnet50,fish,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,4.69,93.65
resnet50,fish,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,4.37,94.24
resnet50,fish,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.57,95.95
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
vgg16,fish,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,28.87,0.0
vgg16,fish,dense,tafe,0.0,30,10,19.94,0.18,19.4,20.0,29.38,1.37
vgg16,fish,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,8.62,89.65
vgg16,fish,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,4.8,94.53
vgg16,fish,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.52,96.68
vgg16,fish,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.94,99.02
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,fish,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,89.78,0.0
xception,fish,dense,tafe,0.0,30,10,18.86,2.24,12.4,20.0,83.62,0.49
xception,fish,dense,tafe,1e-45,30,10,20.38,1.37,18.2,23.8,67.22,38.96
xception,fish,dense,tafe,1e-25,30,10,21.84,4.08,20.0,33.8,55.94,47.66
xception,fish,dense,tafe,1e-15,30,10,24.28,7.74,19.0,39.8,62.33,57.18
xception,fish,dense,tafe,1e-05,30,10,24.58,8.0,17.4,41.6,40.92,76.46
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
vgg16,fish,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,33.66,0.0
vgg16,fish,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,30.62,1.17
vgg16,fish,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,5.1,89.26
vgg16,fish,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.88,94.14
vgg16,fish,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.48,95.7
vgg16,fish,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.37,99.02
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,fish,dense,Baseline,None,30,10,19.78,2.06,15.4,23.4,186.49,0.0
xception,fish,dense,tafe,0.0,30,10,20.32,3.46,14.0,29.2,207.14,0.44
xception,fish,dense,tafe,1e-45,30,10,19.02,2.37,12.2,20.4,107.83,38.77
xception,fish,dense,tafe,1e-25,30,10,22.96,6.67,16.2,36.2,105.24,47.46
xception,fish,dense,tafe,1e-15,30,10,23.52,6.47,20.0,41.0,98.27,56.88
xception,fish,dense,tafe,1e-05,30,10,22.18,5.26,16.8,33.2,54.58,76.22
