Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,foodcontainers,dense,Baseline,None,30,10,61.96,9.63,43.2,80.2,50.57,0.0
inceptionv3,foodcontainers,dense,tafe,0.0,30,10,65.14,6.37,55.0,76.4,42.46,4.49
inceptionv3,foodcontainers,dense,tafe,1e-45,30,10,73.6,4.27,65.6,78.4,4.14,96.19
inceptionv3,foodcontainers,dense,tafe,1e-25,30,10,68.88,5.85,57.0,76.0,3.28,98.0
inceptionv3,foodcontainers,dense,tafe,1e-15,30,10,62.1,5.1,51.0,69.0,2.5,99.02
inceptionv3,foodcontainers,dense,tafe,1e-05,30,10,44.4,3.7,36.6,49.2,2.4,99.85
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,foodcontainers,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,48.01,0.0
resnet50,foodcontainers,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,21.8,60.55
resnet50,foodcontainers,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,7.87,90.43
resnet50,foodcontainers,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,7.47,91.21
resnet50,foodcontainers,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,6.37,92.24
resnet50,foodcontainers,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,4.59,95.26
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
vgg16,foodcontainers,dense,Baseline,None,30,10,19.64,1.08,16.4,20.0,36.51,0.0
vgg16,foodcontainers,dense,tafe,0.0,30,10,19.96,0.12,19.6,20.0,34.21,0.39
vgg16,foodcontainers,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.1,95.31
vgg16,foodcontainers,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,4.22,97.46
vgg16,foodcontainers,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.43,99.02
vgg16,foodcontainers,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.27,99.8
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,foodcontainers,dense,Baseline,None,30,10,32.62,9.67,20.0,46.4,182.98,0.0
xception,foodcontainers,dense,tafe,0.0,30,10,37.86,13.8,20.0,55.6,201.66,0.54
xception,foodcontainers,dense,tafe,1e-45,30,10,43.3,10.0,25.8,62.2,127.33,37.99
xception,foodcontainers,dense,tafe,1e-25,30,10,50.36,7.28,33.8,59.2,107.26,48.54
xception,foodcontainers,dense,tafe,1e-15,30,10,48.82,14.01,23.8,70.8,85.47,56.84
xception,foodcontainers,dense,tafe,1e-05,30,10,59.5,8.07,46.0,70.2,39.15,76.37
