Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,householdelectricaldevices,dense,Baseline,None,30,10,82.32,8.25,59.2,90.0,51.57,0.0
inceptionv3,householdelectricaldevices,dense,tafe,0.0,30,10,79.36,7.47,63.4,89.8,56.01,4.39
inceptionv3,householdelectricaldevices,dense,tafe,1e-45,30,10,76.24,5.95,62.8,82.2,4.07,95.65
inceptionv3,householdelectricaldevices,dense,tafe,1e-25,30,10,75.96,3.48,70.2,81.6,3.85,97.66
inceptionv3,householdelectricaldevices,dense,tafe,1e-15,30,10,68.02,4.47,57.8,75.0,2.85,98.83
inceptionv3,householdelectricaldevices,dense,tafe,1e-05,30,10,45.08,2.85,41.2,49.8,2.47,99.8
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,householdelectricaldevices,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,52.63,0.0
resnet50,householdelectricaldevices,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,21.72,59.47
resnet50,householdelectricaldevices,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,7.35,89.94
resnet50,householdelectricaldevices,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,6.85,91.06
resnet50,householdelectricaldevices,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,5.68,92.19
resnet50,householdelectricaldevices,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.92,95.17
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
vgg16,householdelectricaldevices,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,38.36,0.0
vgg16,householdelectricaldevices,dense,tafe,0.0,30,10,19.98,0.06,19.8,20.0,37.04,0.0
vgg16,householdelectricaldevices,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,3.74,93.95
vgg16,householdelectricaldevices,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,4.21,97.07
vgg16,householdelectricaldevices,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,2.75,98.24
vgg16,householdelectricaldevices,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.17,99.61
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,householdelectricaldevices,dense,Baseline,None,30,10,41.48,11.89,26.6,61.4,206.14,0.0
xception,householdelectricaldevices,dense,tafe,0.0,30,10,40.98,4.45,36.2,53.4,186.09,0.44
xception,householdelectricaldevices,dense,tafe,1e-45,30,10,49.66,8.78,36.6,65.6,146.8,37.5
xception,householdelectricaldevices,dense,tafe,1e-25,30,10,54.04,11.23,29.8,66.8,105.66,47.02
xception,householdelectricaldevices,dense,tafe,1e-15,30,10,54.02,9.38,41.2,68.8,89.42,56.15
xception,householdelectricaldevices,dense,tafe,1e-05,30,10,62.3,9.47,49.2,77.8,58.81,76.56
