Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,householdfurniture,dense,Baseline,None,30,10,62.9,6.74,46.8,70.6,67.05,0.0
inceptionv3,householdfurniture,dense,tafe,0.0,30,10,59.0,5.96,52.8,72.4,52.03,4.64
inceptionv3,householdfurniture,dense,tafe,1e-45,30,10,57.32,4.47,48.8,65.8,4.03,96.24
inceptionv3,householdfurniture,dense,tafe,1e-25,30,10,55.14,5.64,44.6,64.2,3.1,98.05
inceptionv3,householdfurniture,dense,tafe,1e-15,30,10,49.26,3.78,42.4,53.6,3.14,99.17
inceptionv3,householdfurniture,dense,tafe,1e-05,30,10,30.22,2.29,23.8,32.6,2.06,99.95
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,householdfurniture,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,53.73,0.0
resnet50,householdfurniture,dense,tafe,0.0,30,10,20.58,1.44,20.0,24.8,28.59,61.43
resnet50,householdfurniture,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,6.52,91.85
resnet50,householdfurniture,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,5.94,92.53
resnet50,householdfurniture,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,5.2,93.55
resnet50,householdfurniture,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.4,96.44
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
vgg16,householdfurniture,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,24.72,0.0
vgg16,householdfurniture,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,30.43,0.98
vgg16,householdfurniture,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.42,90.82
vgg16,householdfurniture,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,4.34,94.53
vgg16,householdfurniture,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,5.35,96.88
vgg16,householdfurniture,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.66,99.02
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,householdfurniture,dense,Baseline,None,30,10,23.42,6.16,20.0,38.8,155.14,0.0
xception,householdfurniture,dense,tafe,0.0,30,10,21.9,3.68,19.0,30.2,174.3,0.54
xception,householdfurniture,dense,tafe,1e-45,30,10,25.42,6.72,19.8,37.0,115.88,42.14
xception,householdfurniture,dense,tafe,1e-25,30,10,30.18,7.17,20.0,42.8,83.58,50.98
xception,householdfurniture,dense,tafe,1e-15,30,10,24.18,7.36,17.6,40.0,51.81,60.16
xception,householdfurniture,dense,tafe,1e-05,30,10,30.42,9.98,20.0,46.6,29.13,79.69
