Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,non-insectinvertebrates,dense,Baseline,None,30,10,69.1,7.19,56.0,79.2,62.53,0.0
inceptionv3,non-insectinvertebrates,dense,tafe,0.0,30,10,64.26,15.09,28.6,80.2,46.41,4.44
inceptionv3,non-insectinvertebrates,dense,tafe,1e-45,30,10,67.1,4.7,54.8,73.2,5.3,96.0
inceptionv3,non-insectinvertebrates,dense,tafe,1e-25,30,10,58.04,4.3,51.6,65.4,3.54,98.1
inceptionv3,non-insectinvertebrates,dense,tafe,1e-15,30,10,55.56,5.21,44.2,62.6,3.94,98.83
inceptionv3,non-insectinvertebrates,dense,tafe,1e-05,30,10,41.74,4.72,33.4,47.8,2.8,99.61
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,non-insectinvertebrates,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,47.97,0.0
resnet50,non-insectinvertebrates,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,19.61,63.62
resnet50,non-insectinvertebrates,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,5.29,92.97
resnet50,non-insectinvertebrates,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,4.93,93.46
resnet50,non-insectinvertebrates,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,4.34,94.43
resnet50,non-insectinvertebrates,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.2,96.48
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
vgg16,non-insectinvertebrates,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,23.56,0.0
vgg16,non-insectinvertebrates,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,25.74,0.39
vgg16,non-insectinvertebrates,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,3.5,92.19
vgg16,non-insectinvertebrates,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,2.82,96.29
vgg16,non-insectinvertebrates,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,2.41,98.05
vgg16,non-insectinvertebrates,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,1.96,99.61
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,non-insectinvertebrates,dense,Baseline,None,30,10,22.02,3.72,18.4,31.0,95.12,0.0
xception,non-insectinvertebrates,dense,tafe,0.0,30,10,22.2,5.69,16.0,36.6,102.17,0.44
xception,non-insectinvertebrates,dense,tafe,1e-45,30,10,25.9,8.66,19.8,45.6,64.8,37.35
xception,non-insectinvertebrates,dense,tafe,1e-25,30,10,32.74,7.58,20.0,45.8,68.51,46.34
xception,non-insectinvertebrates,dense,tafe,1e-15,30,10,23.7,5.51,19.6,35.6,49.68,53.66
xception,non-insectinvertebrates,dense,tafe,1e-05,30,10,28.52,8.71,15.6,38.6,31.38,75.1
