Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,people,dense,Baseline,None,30,10,33.54,5.33,25.2,43.6,65.04,0.0
inceptionv3,people,dense,tafe,0.0,30,10,34.64,5.41,23.6,43.2,39.9,4.59
inceptionv3,people,dense,tafe,1e-45,30,10,34.84,3.96,29.0,41.6,3.62,96.73
inceptionv3,people,dense,tafe,1e-25,30,10,32.4,4.83,22.8,38.2,3.18,98.54
inceptionv3,people,dense,tafe,1e-15,30,10,33.22,2.93,27.4,36.2,2.98,99.07
inceptionv3,people,dense,tafe,1e-05,30,10,28.14,0.96,27.0,29.8,2.23,99.8
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,people,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,51.19,0.0
resnet50,people,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,20.86,66.11
resnet50,people,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.46,95.41
resnet50,people,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,4.06,96.19
resnet50,people,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.57,96.88
resnet50,people,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.93,98.14
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
vgg16,people,dense,Baseline,None,30,10,19.86,0.42,18.6,20.0,20.4,0.0
vgg16,people,dense,tafe,0.0,30,10,19.96,0.12,19.6,20.0,24.23,0.59
vgg16,people,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,3.39,93.55
vgg16,people,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,2.84,96.48
vgg16,people,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,2.57,97.07
vgg16,people,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.18,99.02
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,people,dense,Baseline,None,30,10,19.98,0.06,19.8,20.0,80.04,0.0
xception,people,dense,tafe,0.0,30,10,19.78,0.91,17.2,20.6,84.86,0.44
xception,people,dense,tafe,1e-45,30,10,19.96,0.2,19.4,20.2,55.36,41.75
xception,people,dense,tafe,1e-25,30,10,19.96,0.12,19.6,20.0,47.26,51.32
xception,people,dense,tafe,1e-15,30,10,19.98,0.14,19.6,20.2,35.98,60.5
xception,people,dense,tafe,1e-05,30,10,19.62,1.17,16.2,20.6,21.37,79.88
