Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,reptiles,dense,Baseline,None,30,10,59.48,11.56,40.6,77.2,54.86,0.0
inceptionv3,reptiles,dense,tafe,0.0,30,10,61.82,11.76,34.8,75.4,50.38,4.59
inceptionv3,reptiles,dense,tafe,1e-45,30,10,59.78,6.34,47.8,69.4,5.24,95.9
inceptionv3,reptiles,dense,tafe,1e-25,30,10,56.04,5.2,46.4,62.4,4.29,97.66
inceptionv3,reptiles,dense,tafe,1e-15,30,10,51.42,3.1,46.8,56.6,4.18,98.73
inceptionv3,reptiles,dense,tafe,1e-05,30,10,36.34,4.38,27.8,41.8,2.61,99.9
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,reptiles,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,49.6,0.0
resnet50,reptiles,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,19.8,65.92
resnet50,reptiles,dense,tafe,1e-45,30,10,20.22,0.66,20.0,22.2,4.84,94.92
resnet50,reptiles,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.78,95.46
resnet50,reptiles,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,3.49,96.04
resnet50,reptiles,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.67,97.75
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
vgg16,reptiles,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,24.11,0.0
vgg16,reptiles,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,22.86,0.98
vgg16,reptiles,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.08,89.84
vgg16,reptiles,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.31,93.95
vgg16,reptiles,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,2.88,96.29
vgg16,reptiles,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.07,99.41
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,reptiles,dense,Baseline,None,30,10,23.14,4.65,20.0,34.2,93.38,0.0
xception,reptiles,dense,tafe,0.0,30,10,21.46,2.16,20.0,26.6,82.01,0.39
xception,reptiles,dense,tafe,1e-45,30,10,24.72,8.84,12.0,44.2,64.92,37.21
xception,reptiles,dense,tafe,1e-25,30,10,25.86,8.64,20.0,44.0,58.64,46.34
xception,reptiles,dense,tafe,1e-15,30,10,27.4,7.64,20.0,42.2,63.94,55.13
xception,reptiles,dense,tafe,1e-05,30,10,24.3,6.54,19.0,38.8,30.94,76.07
