Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,vehicles1,dense,Baseline,None,30,10,69.36,7.89,54.6,78.4,56.01,0.0
inceptionv3,vehicles1,dense,tafe,0.0,30,10,64.76,8.88,47.0,72.8,53.87,4.88
inceptionv3,vehicles1,dense,tafe,1e-45,30,10,62.56,4.59,52.2,67.4,3.82,96.83
inceptionv3,vehicles1,dense,tafe,1e-25,30,10,60.16,3.16,54.8,64.6,2.8,98.34
inceptionv3,vehicles1,dense,tafe,1e-15,30,10,55.32,3.69,49.6,59.8,2.71,99.17
inceptionv3,vehicles1,dense,tafe,1e-05,30,10,29.68,1.38,27.2,32.2,1.99,99.95
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,vehicles1,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,48.1,0.0
resnet50,vehicles1,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,20.49,63.43
resnet50,vehicles1,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,5.66,93.41
resnet50,vehicles1,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,5.08,94.29
resnet50,vehicles1,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,4.54,95.17
resnet50,vehicles1,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,3.48,97.12
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
vgg16,vehicles1,dense,Baseline,None,30,10,19.96,0.12,19.6,20.0,19.88,0.0
vgg16,vehicles1,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,23.29,0.59
vgg16,vehicles1,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,3.8,92.77
vgg16,vehicles1,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.27,95.51
vgg16,vehicles1,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,2.81,96.88
vgg16,vehicles1,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.21,99.41
Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
xception,vehicles1,dense,Baseline,None,30,10,31.1,7.28,20.0,46.0,165.32,0.0
xception,vehicles1,dense,tafe,0.0,30,10,27.94,9.9,19.6,47.8,143.47,0.54
xception,vehicles1,dense,tafe,1e-45,30,10,35.6,13.01,16.8,57.4,84.45,41.26
xception,vehicles1,dense,tafe,1e-25,30,10,39.9,6.49,28.4,48.0,89.34,50.49
xception,vehicles1,dense,tafe,1e-15,30,10,33.6,7.85,19.8,46.6,49.16,58.94
xception,vehicles1,dense,tafe,1e-05,30,10,29.0,9.47,20.0,42.6,29.95,77.98
